时间,北京,唐山,天津,秦皇岛,石家庄,包头,太原,丹东,呼和浩特,锦州,沈阳,吉林,大连,牡丹江,长春,无锡,哈尔滨,扬州,上海,徐州,南京,温州,杭州,金华,宁波,蚌埠,合肥,安庆,福州,泉州,厦门,九江,南昌,赣州,济南,烟台,青岛,济宁,郑州,洛阳,武汉,平顶山,长沙,宜昌,广州,襄阳,深圳,岳阳,南宁,常德,海口,惠州,重庆,湛江,成都,韶关,贵阳,桂林,昆明,北海,西安,三亚,兰州,泸州,西宁,南充,银川,遵义,乌鲁木齐,大理
201911,101.7,101.9,100.0,101.0,100.0,100.1,100.1,100.5,101.5,101.6,100.6,100.8,100.2,99.9,101.0,100.5,100.6,100.6,100.3,100.4,99.9,100.3,99.9,100.8,100.0,100.0,99.7,99.5,100.1,100.1,99.8,100.3,99.4,100.3,99.3,100.6,100.0,100.5,99.5,100.7,100.8,100.5,100.4,99.6,99.5,100.8,100.2,99.7,100.3,99.8,99.7,100.5,100.5,99.5,100.8,99.6,99.5,100.3,100.6,100.1,100.7,100.4,101.1,99.6,101.3,99.7,101.9,99.5,99.1,100.8
201912,100.4,100.8,99.9,100.4,100.7,100.8,99.2,100.5,100.9,101.2,100.5,100.7,100.3,100.3,100.8,100.5,100.5,101.3,100.0,101.2,100.0,100.0,100.3,100.4,100.4,99.8,100.2,99.8,99.8,100.6,100.6,100.7,100.1,100.5,99.2,100.9,100.3,100.1,99.6,100.4,100.9,100.5,101.0,99.7,99.7,100.9,100.7,99.5,100.6,99.9,100.3,100.9,100.5,100.8,100.5,99.6,99.6,100.2,99.7,100.5,100.7,100.7,100.4,99.6,101.0,99.5,101.2,100.5,100.0,100.6
202001,100.0,101.2,99.8,100.0,100.0,100.0,99.4,100.6,100.5,101.4,100.3,101.0,100.1,100.7,100.0,100.8,100.3,100.4,100.5,100.8,100.1,100.3,100.3,100.4,100.6,100.7,100.4,99.6,99.5,100.3,100.2,101.1,100.3,100.1,99.5,100.5,100.1,100.2,100.0,100.1,100.4,100.2,100.6,99.5,100.3,100.6,100.5,99.7,100.4,99.8,99.9,100.7,100.0,99.5,100.3,99.8,99.5,100.3,100.0,100.4,100.3,101.3,100.6,99.8,100.8,99.6,101.0,100.2,99.9,100.8
202002,100.1,100.2,99.6,99.7,100.0,99.9,100.0,100.5,100.0,100.1,100.5,100.2,100.4,100.3,99.9,100.2,100.0,100.0,100.0,100.8,99.9,99.7,99.9,100.0,99.8,100.0,100.0,99.8,100.6,99.6,100.0,100.4,100.0,100.3,99.8,100.6,100.0,100.0,99.7,100.1,100.0,100.0,100.3,100.0,99.9,100.0,100.0,99.6,100.0,100.2,100.0,100.0,99.7,99.8,101.2,99.5,100.5,99.7,99.8,100.1,100.0,100.0,100.0,99.3,100.5,99.4,100.0,99.6,99.8,100.0
202003,100.0,100.9,99.9,100.4,100.2,100.1,100.1,100.4,100.1,100.2,100.4,100.5,100.2,99.9,100.4,100.5,100.3,100.4,100.1,100.6,100.2,99.4,101.3,100.0,100.3,100.4,100.1,99.4,100.4,100.4,100.0,99.8,99.7,99.9,99.6,100.3,99.5,100.4,99.8,99.9,100.0,100.1,100.3,99.7,99.5,100.0,100.5,100.0,100.2,99.6,100.0,99.8,100.3,99.3,100.5,99.9,99.9,99.8,100.0,100.0,100.5,99.5,99.8,99.8,101.4,100.5,101.1,100.2,100.0,100.3
202004,99.7,101.8,100.2,100.7,100.6,99.8,100.3,100.6,100.5,100.8,100.8,100.7,100.5,99.4,100.5,100.6,101.0,100.5,100.6,101.0,101.8,101.0,100.9,100.4,100.0,100.5,99.5,99.6,100.5,100.3,99.9,100.7,100.6,100.5,100.0,100.3,100.5,100.6,100.1,100.3,99.8,100.0,100.5,100.3,100.0,99.9,100.0,100.5,100.4,99.8,100.5,100.4,101.0,100.0,100.7,100.0,99.6,100.5,101.0,99.9,100.6,100.7,100.6,100.0,100.7,101.1,101.0,100.1,100.9,100.0
202005,100.5,101.2,100.4,100.9,100.2,100.8,100.5,100.3,101.0,101.0,101.0,100.2,100.8,99.8,100.4,101.0,100.0,100.6,100.8,100.9,101.2,100.7,100.7,100.8,101.4,100.5,99.9,99.9,100.5,101.0,100.5,100.5,100.3,100.3,100.5,100.4,100.3,100.7,99.8,100.1,100.4,100.5,100.4,100.4,100.3,100.0,100.6,100.5,100.6,100.3,99.7,101.0,100.8,99.8,100.5,99.8,100.3,100.4,100.6,99.8,100.5,99.6,100.4,100.3,100.8,101.3,102.1,99.9,100.5,99.9
202006,100.4,101.5,100.6,100.8,100.1,99.9,100.6,99.8,100.1,100.6,100.9,100.4,100.9,100.0,100.7,100.9,100.1,100.7,100.5,101.1,101.0,101.1,101.2,100.9,100.8,101.0,100.7,99.4,100.6,100.8,101.0,100.9,100.2,100.5,100.3,100.5,100.8,100.6,100.4,100.2,101.4,100.7,101.4,100.3,100.6,100.5,100.8,100.6,101.1,99.8,100.3,101.5,100.9,100.0,100.9,100.2,100.2,100.3,101.2,99.4,100.8,100.3,100.5,100.5,101.0,99.1,101.9,100.2,101.0,99.7
202007,100.3,101.4,100.5,100.1,100.3,100.5,99.9,101.0,100.6,101.1,100.8,100.3,100.5,99.6,100.3,101.3,100.0,100.9,100.4,101.6,100.1,100.7,100.2,100.4,100.4,100.3,100.4,99.7,100.4,100.5,100.7,100.3,100.2,100.7,100.1,100.5,100.4,101.1,100.0,100.8,100.7,100.4,100.5,100.7,100.8,100.8,100.6,100.2,100.7,100.3,100.4,101.0,100.5,100.3,100.9,100.0,100.3,100.0,100.3,99.7,100.9,100.9,100.6,100.2,100.0,99.6,102.0,99.6,100.6,100.4
202008,100.6,101.3,100.3,100.5,100.1,100.8,99.8,100.8,100.5,101.4,101.1,100.8,100.3,100.8,100.6,101.1,100.2,100.9,100.6,100.8,100.0,101.3,100.4,101.1,100.7,100.6,100.3,99.3,100.3,100.9,100.4,99.9,99.7,100.5,99.6,101.0,100.8,101.2,100.6,100.3,100.6,100.3,100.9,100.1,100.9,100.7,100.5,100.4,100.9,99.9,100.8,101.9,100.4,100.5,101.0,100.5,100.7,99.0,100.9,99.3,101.1,101.0,100.7,100.5,101.0,99.5,101.8,100.3,100.0,100.7
202009,100.3,100.6,100.2,100.4,100.6,100.5,99.6,100.8,100.4,99.8,100.0,100.9,100.5,100.0,100.3,100.3,99.8,100.4,100.5,101.4,100.0,100.0,100.0,100.2,100.3,100.4,100.6,100.2,100.3,100.7,100.6,100.5,100.1,100.2,100.0,100.6,100.5,100.9,99.9,100.3,100.4,100.4,100.2,100.2,100.6,100.5,100.4,100.3,100.6,99.6,100.4,100.7,100.6,100.6,100.3,99.8,100.2,100.7,100.2,99.6,100.8,100.8,100.6,100.2,100.6,100.0,101.0,99.8,100.2,100.2
202010,100.2,100.0,99.6,99.7,100.2,100.1,99.7,100.4,100.6,100.1,99.9,99.8,100.3,99.5,99.9,99.9,100.1,100.9,100.3,100.7,100.4,100.3,100.0,99.8,100.1,100.4,100.5,100.5,100.1,100.3,100.2,100.0,99.6,100.3,99.8,100.4,99.8,100.6,99.5,100.0,100.4,100.1,100.0,100.6,100.5,100.4,100.2,99.3,100.2,99.4,100.2,100.3,100.2,100.5,100.1,100.4,100.4,100.3,100.8,99.3,100.5,100.7,100.5,99.6,100.6,99.5,100.6,99.9,100.5,100.0
202011,99.9,100.3,100.3,100.2,100.4,99.9,99.6,100.7,100.4,100.4,99.9,99.7,100.0,99.7,99.7,99.9,99.7,100.1,100.0,99.9,100.1,99.7,99.8,100.2,100.0,100.2,100.6,100.3,100.5,100.2,100.4,99.8,99.6,100.4,99.7,100.2,99.9,101.2,99.7,100.1,100.2,100.6,99.8,100.4,100.9,100.5,100.0,99.9,99.9,99.8,100.3,99.8,99.9,100.5,100.0,100.0,100.5,99.8,100.2,99.8,100.2,100.4,100.6,99.9,100.6,99.6,100.4,100.3,100.2,99.9
202012,100.3,100.3,100.0,100.0,99.9,100.2,99.8,100.6,100.2,100.2,99.6,99.7,100.2,99.3,99.6,99.7,99.4,100.8,100.2,100.0,100.1,100.0,99.7,100.5,99.8,100.3,100.7,100.4,100.7,100.5,100.6,100.1,100.5,100.3,99.9,100.1,100.3,100.4,99.8,100.0,100.3,100.1,100.3,100.1,100.7,100.2,99.9,100.0,100.2,100.1,100.1,100.4,100.3,99.8,99.7,99.8,100.5,100.2,100.3,99.5,100.5,100.5,100.3,99.8,100.7,99.9,100.5,99.9,99.5,99.8
202101,100.5,100.0,100.3,99.7,100.0,100.2,99.6,100.1,100.1,100.5,100.8,99.8,100.1,99.9,100.4,100.0,99.5,100.9,100.6,100.7,100.2,100.4,100.1,101.2,100.5,100.7,100.9,100.2,100.6,100.8,100.3,100.3,100.3,100.6,100.2,99.8,100.2,100.7,100.2,100.3,100.7,100.2,100.6,99.9,101.0,100.3,100.3,99.7,100.3,99.9,100.3,100.3,100.5,100.2,100.8,100.1,100.2,99.9,100.4,99.7,100.4,100.3,100.8,99.4,100.7,99.7,100.6,100.4,100.5,99.6
202102,100.7,99.8,100.4,99.8,99.8,99.7,99.9,100.5,99.8,100.5,100.0,100.6,100.2,99.8,99.8,100.2,100.4,100.7,100.5,101.2,100.5,100.2,100.2,100.4,100.5,100.3,100.6,99.6,100.3,100.7,100.4,100.8,100.1,100.6,100.4,100.3,100.3,100.6,100.5,100.0,100.4,100.3,101.0,100.4,100.9,100.2,100.1,100.4,100.5,100.2,100.6,100.2,100.4,100.8,100.7,100.6,100.4,100.5,100.7,99.7,100.8,100.2,100.7,99.6,100.6,100.8,100.8,100.6,100.9,99.8
202103,100.2,100.2,100.6,100.4,100.6,100.5,99.9,100.1,99.7,100.0,100.3,100.3,100.8,100.0,99.9,100.7,100.3,100.7,100.3,100.3,100.8,100.1,100.5,100.7,100.8,100.3,100.7,99.7,101.0,100.8,100.3,100.4,100.4,100.3,100.5,100.5,100.5,100.8,100.8,100.1,100.4,100.3,100.5,100.5,101.0,100.4,100.1,99.6,100.6,100.3,100.3,100.2,100.9,100.3,100.5,100.5,100.4,100.4,100.8,99.9,100.9,100.7,100.5,100.8,100.5,100.5,100.5,100.2,100.4,100.3
202104,100.6,100.3,100.7,100.0,100.5,100.3,100.2,100.2,100.0,100.2,100.6,100.8,100.7,100.4,100.3,100.6,100.2,100.9,100.3,100.9,100.6,100.6,100.5,100.4,100.6,99.8,100.5,99.7,100.6,100.7,100.2,100.4,100.5,100.2,100.8,100.6,100.7,100.7,100.7,100.6,101.0,100.2,100.7,100.8,101.1,100.7,100.5,100.2,100.4,100.0,101.0,100.4,101.4,100.7,100.5,100.5,100.8,100.4,101.0,99.7,100.6,100.2,100.7,99.7,100.6,100.4,100.6,100.3,100.3,99.8
202105,100.3,100.1,100.6,100.0,100.4,100.7,100.3,100.2,100.5,100.7,100.9,100.4,101.2,100.3,100.3,100.8,100.4,101.0,100.4,100.7,100.8,100.7,100.6,100.5,100.4,99.7,100.2,99.8,100.5,100.6,100.9,100.3,100.0,100.4,101.0,100.4,100.8,101.0,100.8,100.8,100.9,100.2,100.8,100.7,101.5,100.4,100.6,100.5,100.6,99.7,100.4,100.7,101.9,100.6,100.4,100.3,100.3,100.5,100.0,100.6,100.5,100.3,100.4,100.5,100.8,99.8,101.0,100.6,100.7,99.6
202106,100.9,100.4,100.9,99.7,100.0,100.0,99.8,100.1,100.2,100.5,100.7,100.4,101.0,100.2,100.2,101.2,99.9,101.1,100.5,100.7,100.8,100.5,100.8,100.6,100.6,100.5,100.2,99.7,100.5,100.4,100.7,100.3,100.0,100.4,101.5,100.3,100.7,100.8,100.8,100.4,100.7,100.1,101.3,100.5,101.0,100.3,100.5,99.6,100.5,99.5,100.8,100.5,101.0,99.8,100.3,100.8,99.8,100.3,99.2,100.3,101.0,100.6,100.5,99.9,100.9,99.6,100.8,100.2,100.1,99.4
202107,100.8,99.6,100.6,99.8,100.2,100.2,100.0,100.4,99.9,100.3,100.5,100.5,100.6,99.9,100.1,100.9,100.0,100.6,100.4,100.3,100.4,100.5,100.5,100.3,100.4,100.5,100.1,99.9,100.3,100.6,100.4,100.5,100.3,99.9,100.7,100.6,101.0,100.7,100.4,100.6,100.6,99.9,100.8,100.6,100.2,100.5,100.5,99.3,100.3,99.9,101.0,100.0,100.7,100.4,100.4,99.5,100.5,99.7,99.5,100.3,100.7,100.5,100.4,99.8,100.7,99.7,101.0,99.4,100.4,99.5
202108,100.2,99.4,100.3,99.4,99.7,100.1,99.8,100.3,100.2,100.2,100.3,100.2,100.6,100.4,100.3,100.3,99.7,100.0,100.4,100.1,100.1,100.2,100.6,100.4,100.3,100.4,100.2,100.0,100.2,100.3,100.4,100.2,100.1,99.9,100.6,99.9,100.8,100.1,99.9,100.5,100.4,100.4,100.5,100.0,99.9,100.4,101.0,99.7,99.7,99.7,100.3,99.6,100.8,99.8,100.3,100.4,100.0,99.6,99.6,100.1,100.7,100.2,99.8,99.9,100.5,99.5,100.4,99.9,100.8,100.1
202109,100.0,99.2,99.9,99.5,100.4,99.8,99.3,100.1,99.7,100.5,99.9,99.8,100.1,99.3,100.4,100.5,99.5,99.6,100.2,99.7,100.2,100.4,100.4,100.1,100.0,99.9,100.4,100.4,100.0,100.1,100.3,99.8,99.9,100.0,100.4,99.8,100.0,100.4,99.7,100.3,100.0,100.2,100.3,99.7,99.9,99.9,100.2,99.5,99.6,99.3,100.3,99.7,100.1,99.0,99.8,99.5,99.7,99.4,99.3,99.6,100.6,100.1,99.7,99.0,100.2,99.9,100.6,99.7,100.0,99.5
202110,100.6,99.3,99.5,99.2,98.9,99.7,99.7,100.2,99.5,100.3,99.7,99.7,99.8,99.5,100.1,100.0,99.7,99.6,100.1,99.7,100.0,100.0,100.4,99.8,99.9,99.8,99.9,99.9,99.8,99.9,100.2,99.6,99.7,99.7,99.6,99.5,99.8,99.9,99.5,100.2,99.6,100.3,100.2,99.7,99.7,99.8,99.8,99.3,99.5,99.5,100.0,99.4,100.0,99.3,99.4,98.9,99.6,99.3,99.2,99.7,100.4,100.8,99.9,99.1,99.7,99.5,100.6,99.4,99.7,99.1
